random,somefield,date,noquery,id,tweet_text
0,1467810672,Mon Apr 06 22:19:49 PDT 2009,NO_QUERY,scotthamilton,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!
0,1468006169,Mon Apr 06 23:13:25 PDT 2009,NO_QUERY,kryptonsite,@ashman01 My only complaint about Facebook is they've changed it so much it's confusing 
0,1468430390,Tue Apr 07 01:37:16 PDT 2009,NO_QUERY,dryfter,@davidkudrev It's just a pity that Facebook Chat has exceeded even MSN's amazingly level of unreliability! 
0,1468448423,Tue Apr 07 01:44:03 PDT 2009,NO_QUERY,Jess_Cathcart,@jazred87 i told you if I caved I'd end up abusing it... much like I do Facebook. It's because I don't have any real friends 
0,1468722966,Tue Apr 07 03:22:34 PDT 2009,NO_QUERY,themadcatlady,@LPetersson pls pls PHOTOS!  I�m not gonna sign up to Facebook just to see photos.  Put them on Flickr or something! 
0,1469421132,Tue Apr 07 06:19:49 PDT 2009,NO_QUERY,ashleycook,guesses that none of her buds have ever (or ever care to) build an app for Facebook... 
0,1550696898,Sat Apr 18 06:58:53 PDT 2009,NO_QUERY,tesserini,"@Kyabean Facebook is so mean.  It kept giving me sister fits when she tried to sign up. Hm, maybe I can DM you the URL?"
0,1551177212,Sat Apr 18 08:21:03 PDT 2009,NO_QUERY,jannestad,"Well, activated my Facebook account again... felt lonely "
0,1551641658,Sat Apr 18 09:35:34 PDT 2009,NO_QUERY,BrittainyBadazz,"Ok, so I still aint found my momma  wtf? Umm, MySpace and Facebook are so much easier."
0,1553207758,Sat Apr 18 13:39:16 PDT 2009,NO_QUERY,Caflin,Survey says I should not have used the Facebook email contact feature 
0,1553491076,Sat Apr 18 14:24:37 PDT 2009,NO_QUERY,LauraDude,on Facebook &amp; msn ... bored tho  xx
0,1556012057,Sat Apr 18 21:21:50 PDT 2009,NO_QUERY,rlangdon,Facebook thinks I'm still in Texas. I'm getting e-mails about concert listings in Houston 
0,1556217718,Sat Apr 18 22:02:14 PDT 2009,NO_QUERY,Saintel,Updated my twitter background and picture. Updating myspace next. Too bad Facebook does not let you customize and express your creativity 
0,1557208770,Sun Apr 19 02:39:45 PDT 2009,NO_QUERY,ScottRhodie,Twitter is evil. It has made me forget about Facebook and keeping in touch with good friends. Feel bad 
0,1557240742,Sun Apr 19 02:51:55 PDT 2009,NO_QUERY,TheChrisD,"@JonnyPaula Oh dear, you've started auto-Facebook-updating-via-Twitter already "
